Leftcontext	Match	Rightcontext	Measurecase	Kindlemma	Kindgender	Kindcase	Kindfreq	Measurelemma	Measuregender	Measurenumber	Measureclass	Measurefreq	Minus1pos	Genitives	Badness	Url	Originalsort
Ihr bis zu 30	cm dickes Fell	hält sie so warm , dass sie sich an " heißen " Tagen mit dem Rücken in den Schnee oder auf das Eis legen und ihre Füße in die Luft strecken .	False	Fell	Neut	Nomacc	4.1462645068	cm	Masc	Pl	Capacity	5.0287729007	Card	7	5	http://www.tierchenwelt.de/raubtiere/112-eisbaer.html	4259
Die Fellkuh unterscheidet sich von der landläufig bekannten Milchkuh lediglich durch ihr dickes , 20 bis 30	cm langes Fell	.	False	Fell	Neut	Nomacc	4.1462645068	cm	Masc	Pl	Capacity	5.0287729007	Card	5	5	http://www.hokuspokus-regenbogen.de/Arcoris/Saeugetiere.html	4285
Alle Wände gegen das Erdreich , bestehend aus 30	cm dickem Beton	, wiesen Feuchteschäden sowie starken Schimmel auf und waren nicht gedämmt .	False	Beton	Masc	Dat	3.8614268693	cm	Masc	Pl	Capacity	5.0287729007	Card	4	4	http://www.bauhandwerk.de/artikel/bhw_Gut_Holz_Energetische_Sanierung_auf_Passivhaus-Standard_in_Konstanz_322790.html	4300
Die äusseren Wände existieren bereits ( 30	cm dicker Beton	ca. 15 Jahre alt ) .	False	Beton	Masc	Nom	3.8614268693	cm	Masc	Pl	Capacity	5.0287729007	Card	6	2	http://www.deepdry.de/faq/	4343
Fast wollte ich aufgeben und die Maschine wieder zusammenbauen , habe dann ganz hinten einen 0,8 mm dicken und 30	cm lange Kunststoff	Faser gefunden .	False	Kunststoff	Masc	?	4.0930222308	cm	Masc	Pl	Capacity	5.0287729007	Card	6	3	http://forum.iwenzo.de/reparatur-waschmaschine-f21/miele-w2573-zwischen-trommel-und-bottich-ist-ein-g-t22580.html	4428
Der Operator einer Gießanlage in einem integrierten Hüttenwerk in den USA stellt in der Nachtschicht fest , dass die vom Stahlwerk angelieferte Pfanne mit 30	Tonnen flüssigem Stahl	aufgrund von Netzwerkproblemen nicht ordnungsgemäß zum Gießen angemeldet werden kann .	Dat	Stahl	Masc	Dat	4.097048965	Tonne	Fem	Pl	Weight	4.4352549304	Card	3	9	http://www.symmedia.de/product/praxisbeispiele/trouble-shooting/	4523
Deine Läufe durch 20 - 30	cm tiefen Schnee	, wären bei mir ziemlich schädlich für mein Kreuz .	False	Schnee	Masc	Acc	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	6	4	http://www.forum-alkoholiker.de/ftopic20426-400.html	4548
Bei einer abendlichen Tour durch den hier ca. 20 - 30	cm hohen Schnee	konnten die neuen Sachen auch gleich getestet werden .	False	Schnee	Masc	Acc	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	6	2	http://www.bigappleblog.de/	4550
Unterwegs schneit es im Bereich Nürburgring stark , neben der Straße haben die Räumfahrzeuge über 30	cm hohen Schnee	aufgetürmt .	False	Schnee	Masc	Acc	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	6	3	http://www.womofamilie.de/touren_2008.htm	4569
06.12.2011 Bericht von der Schierker Str. : 20 - 30	cm pulvriger Schnee	; zum Skaten zu viel ; ganz gute CL-Spur bis Abzweig Oderbrück gelegt .	Nom	Schnee	Masc	Nom	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	3	3	http://www.skiklub-oker.de/	4599
Also ging es mit einer Richtantenne , einem Standard C 558 mit diversen Dämpfungsgliedern , einem weiteren Funkgerät und Taschenlampen durch den ca. 20 - 30	cm tiefen Schnee	Richtung Kalmitgipfel .	False	Schnee	Masc	Acc	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	5	2	http://www.peilgruppe-kalmit.de/aktuelles.htm	4602
Im Schatten fror es und wir stapften durch bis zu 30	cm tiefen Schnee	.	False	Schnee	Masc	Acc	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	6	4	http://der-bergkater.de/	4618
Im Februar 1987 brachen im Hardtwald Kieferndickungen flächig zusammen : Wochenlanger Naßschneefall mit nächtlichem Frost bei weitgehender Windstille führte dazu , daß die Kiefernkronen miteinander zu 30	cm dicken Schnee	- und Eisbrettern verklebten , bis das Gewicht zu hoch wurde und sie mit gewaltigem Krach zusammenbrachen .	False	Schnee	Masc	Acc	4.4910449637	cm	Masc	Pl	Capacity	5.0287729007	Card	1	4	http://www.woenge.de/woeng/artikel/forst/0520neu.html	4622
Zutatenliste : 2 Kugeln Buffel-Mozarella ( á 125 g) 250 g Erdbeeren 30	g grüner Pfeffer	2 Stiele Basilikum 2 EL Balsamicoessig 40 ml Olivenöl Salz Zubereitung : Mozarella abtropfen lassen und in mundgerechte Stücke schneiden .	Nom	Pfeffer	Masc	Nom	3.9929156471	g	Neut	Pl	Weight	4.7338534288	Card	4	8	http://www.guidos-kochbuch.de/kategorie/salate/	4895
Antenne : 30	m langer Draht	Entfernung zum Sender : 300 km Empfänger : 20 Jahre alter FT -747 GX mit selbstgebauten 12 kHz-ZF-Ausgang Konverter : SO 42 P mit 10 MHz-Quarz Tut mir leid wegen des schlechten Tons und der falschen Farbtemperatur .	False	Draht	Masc	Nom	3.9596613703	m	Masc	Pl	Length	5.240433421	Card	4	4	http://www.wumpus-gollum-forum.de/forum/board/andere-themen/andere-themen/heutiger-empfang-des-maschinensenders-grimeton-auf-17-2-khz-11_214.html	4946
Der Empfang ist jetzt um 22:20 einwandfrei ( S 9 + 10 bis S 9 + 20 auf dem FT -747 GX , 30	m langer Draht	als Antenne ) .	False	Draht	Masc	Nom	3.9596613703	m	Masc	Pl	Length	5.240433421	Card	6	3	http://www.wumpus-gollum-forum.de/forum/board/andere-themen/rundfunkempfang-hoerberichte-dx/wieviele-am-mittelwellenstationen-koennt-ihr-in-den-abendstunden-empfangen-29_1_6.html	5001
Pro Tag nehmen Wanderratten etwa 30	g feste Nahrung	und 60 ml Flüssigkeit zu sich .	Acc	Nahrung	Fem	Str	4.3428961984	g	Neut	Pl	Weight	4.7338534288	Card	6	7	http://www.gelsenkirchen.de/de/Rathaus/Sicherheit_und_Ordnung/Schadnager/default.asp?Z_highmain=26%26Z_highsub=10%26Z_highsubsub=0	5153
Pro Tag nehmen Wanderratten etwa 30	g feste Nahrung	und 60 ml Flüssigkeit zu sich .	Acc	Nahrung	Fem	Str	4.3428961984	g	Neut	Pl	Weight	4.7338534288	Card	9	9	http://www.rentokil.de/schadlingslexikon/schadnager/wanderratten/index.html	5181
Das machen die allerdings mit einer überdimensionalen Spritze , mit der sie aus 30	cm Tiefe Sand	ansaugen , den sie dann untersuchen .	False	Sand	Masc	?	4.4435696241	cm	Masc	Pl	Capacity	5.0287729007	Card	6	1	http://www.dieboehmes.de/mehr/australien/tagebuch.html	5680
In manchen Teilen sind nur die obersten zehn bis 30	Zentimeter lockerer Sand	.	False	Sand	Masc	Nom	4.4435696241	Zentimeter	Masc	Pl	Length	4.1950911679	Card	3	3	http://www.dominikbender.de/13728/18701.html	5707
Die Brüder Balduin von Dahlen verkauften 1260 dem Kloster Marienberg vor Helmstedt fünf Hufen Landes mit der Vogtei in Küblingen für 30	Mark reinen Silbers	und 1247 verehrten die Brüder Lippold und Heinrich von Werl diesem Kloster eine Hufe daselbst ...	Acc	Silber	Neut	Gen	4.2552290735	Mark	Fem	Pl	Currency	4.631490443	Card	3	3	http://cugelinge.de/body_index.html	5772
Silber und 30	mark reinen Silbers	.	Nom	Silber	Neut	Gen	4.2552290735	Mark	Fem	Pl	Currency	4.631490443	Card	3	10	http://www.geschichte-polle.de/html/spilker_-_teil_8.html	5774
Der Erfurter Schatz ist ein fast 30	Kilogramm schwerer Gold	- und Silberfund aus dem Mittelalter , der seit 2009 in der Alten Synagoge Erfurt gezeigt wird .	False	Gold	Neut	?	4.6218635438	Kilogramm	Neut	Pl	Weight	3.9253327226	Card	0	9	http://www.juedisches-leben.erfurt.de/jle/de/veranstaltungen/39487.html	5903
Bei der kleinen Eigenblutbehandlung wird eine Menge von 5 - 10 ml Blut aus der Vene entnommen und in eine mit 30	ml ozonangereichertem Sauerstoff	gefüllte Spezialspritze gegeben .	Dat	Sauerstoff	Masc	Dat	4.0055151165	ml	Masc	Pl	Capacity	4.2330722957	Card	3	1	http://www.praxisvantreek.de/schwerpunkt/schwerpunkt.htm	6021
Am Montagmorgen stand die ersteTagesration ( 30	kg frisches Obst	) vor der Schule .	Nom	Obst	Neut	Nomacc	4.2612866651	kg	Neut	Pl	Weight	4.7316548309	Card	4	2	http://www.gsl.monheim.de/aktuelles.php	6430
Oliven-Senf Zutaten ( für 10 Personen ) : 20 g schwarze Oliven 20 g getrocknete Tomaten 20 g Kapern 40 g Anchovis oder Sardellenfilets 2 Schalotten 2 Fleischtomaten 8 g Basilikum 1,5 dl Olivenöl 50 g weißer Balsamico 70 g weiße Crema di Balsamico 30	g normaler Senf	120 g Creme fraiche Salz und Pfeffer zum Garnieren : 6 Bouquets Basilikum Schalotten schälen und würfeln .	Nom	Senf	Masc	Nom	3.8477206888	g	Neut	Pl	Weight	4.7338534288	Card	7	5	http://wissenundlaesteranstalt.xobor.de/t246f5-Grillen-mal-anders.html	6459
in einer kleinen Tasse 30	Tropfen ätherisches Öl	mit 20 ml reinem Alkohol mischen , bis sich das Öl löst .	Acc	Öl	Neut	Nomacc	4.6270400135	Tropfen	Masc	Pl	Portion	4.106856962	Card	7	6	http://www.jean-puetz-produkte.de/Infothek/rezepte/rezeptsammlung_wellnessbad.php	6506
Im Gegensatz zum Goldbarren , dessen Standardbarren bei genau 400 oz tr ( Feinunzen ) liegt , ist ein Standardbarren in Silber deutlich schwerer : nämlich 1.000 oz , was genau 31,103	Kilogramm pures Silber	entspricht .	Dat	Silber	Neut	Nomacc	4.2552290735	Kilogramm	Neut	Pl	Weight	3.9253327226	Card	2	5	http://www.rohstoffdirekt.de/produkte/silberbarren/	5767
Die " Big Phil " genannte Münze besteht aus 31,103	kg purem Gold	, hat einen Durchmesser von 37 cm und ist 2 cm dick .	Dat	Gold	Neut	Dat	4.6218635438	kg	Neut	Pl	Weight	4.7316548309	Card	1	4	http://www.monero.de/geldanlage/gold-rohstoffe/der-wiener-philharmoniker.html	5828
Am Ende unserer Spendenaktion konnten wir 31,5	Liter gespendetes Blut	verzeichnen , das von 63 Spendern stammte , wovon 38 zum wiederholten mal spendeten 25 neuen Spender konnten gewonnen werden , die auch gleich in der Datenbank des DRK erfasst wurden .	Acc	Blut	Neut	Nomacc	4.7108431222	Liter	Masc	Pl	Capacity	4.5919990046	Card	4	8	http://www.mcdonalds-ehmann.de/Blutspende.htm	3928
Das ergibt sich bei etwa 32	g grüner Farbe	und ca. 70 g brauner Farbe .	Dat	Farbe	Fem	Obl	5.0989951718	g	Neut	Pl	Weight	4.7338534288	Card	5	4	http://www.modellbahn-online.de/filme/index.php?id=quarzsandspachtel	2201
Außerdem entsorgte die Polizei 32	Flaschen hochprozentigen Alkohol	und diverse Packungen Zigaretten .	Acc	Alkohol	Masc	Acc	4.4816174578	Flasche	Fem	Pl	Vessel	4.4603294318	Card	6	4	http://www.kreiszeitung-wochenblatt.de/themen/kinder.html	3112
Darauf liegt die Bodenplatte , die nochmals 32	m ² Beton	beinhaltet .	False	Beton	Masc	?	3.8614268693	m	Masc	Pl	Length	5.240433421	Card	4	4	http://www.feuerwehr-meerbusch.de/03_einheiten/lg6_standort_zwischenstand.htm	4363
Das Stegsystem wurde 2008 aus 32	Tonnen recyceltem Plastik	in Holzoptik erbaut , so kann man den Tieren nahe kommen ohne sie zu sehr zu stören .	Dat	Plastik	Neut	Dat	3.9275551299	Tonne	Fem	Pl	Weight	4.4352549304	Card	5	2	http://www.ingrids-welt.de/reise/nam/html/kuekreuzkap.htm	5351
Während der Wald mit Hilfe der Photosynthese 44 t CO 2 einatmet , wandelt er dabei die darin enthaltenen 12 t gasförmigen Kohlenstoff in festen Kohlenstoff ( = Holz ) um , gibt dabei die übriggebliebenen 32	t reinen Sauerstoff	in die Umwelt ab und erneuert so ohne Ökosteuer unsere Atemluft , die wir ständig verbrauchen .	Acc	Sauerstoff	Masc	Acc	4.0055151165	t	Fem	Pl	Weight	4.58984241	Card	1	1	http://www.rheindonnersberg.de/lentz.htm	6035
Auch die Preise , die zu gewinnen sind , spiegeln diese Zahl wider ; unter anderem werden 3 KTM e-Bikes , 3 Strategieberatungspakete von ClimatePartner , 33	Kisten klimaneutraler Wein	oder 33 Plätze für eine exklusive Bootsfahrt im Nationalpark Donauauen verlost .	Nom	Wein	Masc	Nom	4.6830380279	Kiste	Fem	Pl	Vessel	4.3444551534	Card	4	4	http://www.finanzkrisenspecial.de/2010090625342/nachrichten/aktuelle-meldungen/elearning-okokurs-von-canon-informiert-uber-okologisches-arbeiten-im-buro.html	279
Der Melcheor gab dem Kindlein ebenfalls 33	Pfund reinstes Gold	, er überreichte es der Maria .	Acc	Gold	Neut	Nomacc	4.6218635438	Pfund	Neut	Pl	Weight	3.9762857702	Card	3	1	http://www.lothar-bross.de/www/Buecher/Leben%20und%20Lehre%20Jesu/le03.htm	5871
Nicht weniger als 33	Schichten knusprigen Teiges	durften es früher sein - als Symbol für die 33 vollendeten Lebensjahre Jesu Christi .	Nom	Teig	Masc	Gen	3.9813383082	Schicht	Fem	Pl	Layer	4.4090264116	Card	6	3	http://www.o-solemio.de/blog/pasqua-ostern-in-italien/	6578
Alle Teile werden aus 34	mm starkem Holz	gefertigt und halten höchsten Belastungen stand .	False	Holz	Neut	Dat	4.6781194097	mm	Masc	Pl	Length	4.8946184125	Card	7	8	http://www.plus.de/Gartenmoebelgruppen/Gartenmoebel/Garten/Sortiment/c-7_TDbjxlM.oAAAEq1vME6DQ5	2868
Seit 2005 sind aus 45 Tonnen zurück gegebener Kleidung immerhin 34	Tonnen neue Kleidung	entstanden .	Nom	Kleidung	Fem	Str	4.4366587002	Tonne	Fem	Pl	Weight	4.4352549304	Card	3	2	http://klettern-bouldern.de/	4388
Ein Stundteam wird für die ordnungsgemäße Verschrottung des Wagens mit dem Blitz sorgen , indem 34	Tonnen russischer Stahl	gegen etwas Blech und Plaste antreten , ein ungleicher Kampf - aber wen interessiert denn schon Fairness ...	Nom	Stahl	Masc	Nom	4.097048965	Tonne	Fem	Pl	Weight	4.4352549304	Card	6	6	http://www.passat35i.de/archive/index.php/t-49285.html	4466
Das Gericht in Schervede ( cometia et jurisdictio ) war zur Hälfte am 12. Juni 1279 CLXXXII dem Stifte Paderborn für 34	Mark reinen Silbers	und 4 Schillinge in Denaren , oder für 57 Mark Denare , wie sie in Warburg und Höxter galten , von dem Grafen Ludewig verpfändet .	Acc	Silber	Neut	Gen	4.2552290735	Mark	Fem	Pl	Currency	4.631490443	Card	3	4	http://geschichte-polle.de/html/spilker_-_teil_2.html	5757
Hallo , bei mir haben " Aktiferrin compositum Kapseln " ( Eisen (II)-Sulfat , getrocknet 113,85 mg entsprechend 34,5	mg zweiwertigem Eisen	, DL-Serin 129 mg , Folsäure 500 µg ) geholfen .	Nom	Eisen	Neut	Dat	4.128412194	mg	Neut	Pl	Weight	4.2765950593	Card	6	3	http://www.ht-mb.de/forum/archive/index.php/t-1032461.html	609
Die von der BLG und GNS beabsichtigten Spielereien mit , , auch nur " jährlich 35	Tonnen hochradioaktiven Müll	sind angesichts der neuen Methode nicht mehr genehmigungsfähig .	Dat	Müll	Masc	Acc	4.2370860804	Tonne	Fem	Pl	Weight	4.4352549304	Card	1	3	http://www.castor.de/diskus/lesb-ejz/juli-dez97/970911.html	767
Das Schwarz brechen Sie gekonnt mit ca. 35	qm bunten Stoffes	, den sie sich leger um die Schultern werfen .	Dat	Stoff	Masc	Gen	4.6795696098	qm	Masc	Pl	Square	4.2015773601	Card	3	2	http://www.hoeflichepaparazzi.de/forum/archive/index.php/t-1049.html	3018
Statistisch gesehen liegt der Fettverzehr in Deutschland statt der empfohlenen 60 bis 70 Gramm bei 80 bis 100 g pro Tag - bis zu 36	kg reines Fett	im Jahr .	Nom	Fett	Neut	Nomacc	4.2780810669	kg	Neut	Pl	Weight	4.7316548309	Card	6	4	http://www.ratgeber-gesund.de/gesundheit/artikel/1_119.html	2002
Beispiel : Bei dem Lasten-Pedelec " Flyer Cargo " des schweizerischen Herstellers Biketec ( uriblank ) mit einem Kaufpreis von 3.690 Euro entspräche das einem 36	Euro höherem Gehalt	vor Steuern .	Dat	Gehalt	Neut	Dat	4.3124185642	Euro	Masc	Pl	Currency	5.6030293397	Card	3	5	http://www.agr-ev.de/de/start/172-zehn-fragen-zum-thema-dienstrad	2134
Habe darauf hin 36	Gramm frisches Salz	auf ein Liter Wasser gelöst und gemessen .	Acc	Salz	Neut	Nomacc	4.3573668452	Gramm	Neut	Pl	Weight	4.1892825213	Card	6	5	http://www.meerwasserforum-blaue-lagune.de/jetzt-geht-es-los/717-mein-neues-abenteuer/index5.html	3557
2. Aus einem 36	cm langen Draht	soll das Kantenmodell einer quadratischen Säule hergestellt werden .	False	Draht	Masc	Acc	3.9596613703	cm	Masc	Pl	Capacity	5.0287729007	Card	6	4	http://www.simforum.de/archive/index.php/t-105186-p-5.html	4983
Und hier ist direkt noch eine Aufgabe , die ich bis morgen dringend brauche : Aus einem 36	cm langen Draht	soll das Modell einer quadratischen Säule hergestellt werden .	False	Draht	Masc	Acc	3.9596613703	cm	Masc	Pl	Capacity	5.0287729007	Card	5	8	http://www.mathehotline.de/mathe4u/hausaufgaben/messages/74189/19234.html	4996
Ein goldener Schleier ( 36	Kilo reines Gold	) , eine drei Meter lange Goldkette ( 10,5 Kilogramm ) und ein sage und schreibe 500 Kilogramm schwerer Goldschaft gehören zu den bemerkenswertesten Gegenständen , die in bislang den Tempelkammern entdeckt wurden .	Nom	Gold	Neut	Nomacc	4.6218635438	Kilo	Neut	Pl	Weight	4.1371198077	Card	3	1	http://www.kerala-discovery.de/KD_Web/000_INN/616110708.htm	5902
Dosierungsanleitung , Art und Dauer der Anwendung : Soweit nicht anders verordnet , nehmen Erwachsene und Heranwachsende ab 10 Jahren 3 x 15 ml pro Tag mit dem beiliegenden Messbecher ein 45 ml Floradix mit Eisen enthält 36,8	mg verwertbares Eisen	.	Acc	Eisen	Neut	Nomacc	4.128412194	mg	Neut	Pl	Weight	4.2765950593	Card	3	8	http://www.saluspharma.de/startseite/produkte/floradix_mit_eisen/tonikum/gebrauchsinformation/index.html	578
Dosierungsanleitung , Art und Dauer der Anwendung : Soweit nicht anders verordnet , nehmen Erwachsene und Heranwachsende ab 10 Jahren 3 x 15 ml pro Tag mit dem beiliegenden Messbecher ein 45 ml Floradix mit Eisen enthält 36,8	mg verwertbares Eisen	.	Acc	Eisen	Neut	Nomacc	4.128412194	mg	Neut	Pl	Weight	4.2765950593	Card	3	8	http://www.saluspharma.de/startseite/produkte/floradix_mit_eisen/tonikum/gebrauchsinformation/index.html	1914
Dort machten wir einen kleinen Rundgang ( im wahrsten Sinne des Wortes ) , der uns teilweise über im Boden eingelassenes 38	Millimeter starkes Glas	führte .	False	Glas	Neut	Nomacc	4.5971047584	Millimeter	Masc	Pl	Length	3.9245273835	Card	7	6	http://www.travelty.de/neuseeland-1999/bericht/bericht-22.html	2943
Auch durch das im Boden eingelassene 38	Millimeter starke Glas	machte ich Film und Foto .	False	Glas	Neut	?	4.5971047584	Millimeter	Masc	Pl	Length	3.9245273835	Card	6	5	http://www.helmut-dietz.de/reise/neuseeland/nord/inhaltauc.html	2957
Mit dem 38	Millimeter messenden Aluminium	Ständer bringt der Doppler Alu Pro Kurbel nicht einmal 9 kg auf die Waage .	False	Aluminium	Neut	?	3.8749570202	Millimeter	Masc	Pl	Length	3.9245273835	Card	6	9	http://www.sonneo.de/doppler-alu-pro-kurbel/	5541
Ein HY-PRO ® Protein Deluxe Shake zubereitet in Milch liefert 39	g hochwertiges Eiweiß	u nd damit alle notwendigen Bausteine für maximales Muskelwachstum .	Acc	Eiweiss	Neut	Nomacc	3.9467272966	g	Neut	Pl	Weight	4.7338534288	Card	7	7	http://www.scsports.de/nahrungsergaenzung/all-stars/hy-pro-deluxe-500g-beutel-von-all-stars.html	2679
20 kg  32.06 kg  kmol = 0,624 kmol MWSO 2 = 64,06 kg  kmol 0,624 kmol x 64,06 kg  kmol = 39,963	kg Ideales Gas	: VMol , T = 273 K = 22,4 m 3  kmol VT = 273 K = 0,624 kmol x 22,4 m 3  kmol = 13,974 m 3 .	Nom	Gas	Neut	Nomacc	4.476744703	kg	Neut	Pl	Weight	4.7316548309	Card	7	4	http://www.chemieonline.de/forum/archive/index.php/t-86250.html	404
zu je 200 g , 1 El Butter , Salz , weißer Pfeffer , 2 El gemischte Kräuter ( Estragon , Salbei , Petersilie ) , 2 gehackte Pfefferminzblätter , 40	g frische Butter	, 4 Pfefferminzblätter für die Garnitur .	Nom	Butter	Fem	Str	4.130944568	g	Neut	Pl	Weight	4.7338534288	Card	6	8	http://www.lfvbaden.de/24.0.html	125
TL Backpulver außerdem 40	g weiche Butter	60 g Mandelblättchen 40 g Zucker ½ TL Zimt 1 Glas Sauerkirschen Fett schaumig rühren .	Nom	Butter	Fem	Str	4.130944568	g	Neut	Pl	Weight	4.7338534288	Card	7	6	http://forum.kochen-und-geniessen.de/back-club-f2/backen-mit-kirschen-teil-1-t6660-s30.html	159
Brathendl Zutaten ( Für 2 Personen ) 1 kleines Brathähnchen ca. 1 kg ) 1 kleiner Bund Petersilie 40	g flüssige Butter	Salz Pfeffer aus der Mühle 1  2 TL Paprikapulver Zubereitung : Petersilie waschen , trocken schütteln und in die Bauchhöhle des Hähnchens stecken .	Nom	Butter	Fem	Str	4.130944568	g	Neut	Pl	Weight	4.7338534288	Card	6	7	http://forum.kochen-und-geniessen.de/koch-club-f1/suche-rezepte-aus-bayern-t388-s30.html	161
Angebaut hat er zehn Hektar Bt-Mais des Weltmarktführers beim Verkauf transgener Saaten Monsanto , versteckt in einem Feld mit 40	Hektar konventionellem Mais	.	Dat	Mais	Masc	Dat	3.8289433197	Hektar	Masc	Pl	Square	4.0422052397	Card	3	4	http://www.gen-ethisches-netzwerk.de/gid/171/janoschka/genfeld-tagesschau	628
Biologen setzen Auswilderungsversuch fort  Forschungsboot verfolgt Kaviarfisch mit eingepflanztem Minisender 12. 7. 201 a. Beobachtet von zwei Fischbiologen und einem Team des NDR-Fernsehens , verschwand der urtümliche , etwa 40	Zentimeter lange Fisch	in den glitzernden Fluten der Oste bei Bremervörde .	False	Fisch	Masc	?	4.6857936717	Zentimeter	Masc	Pl	Length	4.1950911679	Card	1	2	http://www.niederelbe.de/osteland/pressetexte2011.htm	850
Der bis zu 40	cm lange Fisch	ist eigentlich ein typischer Mittelmeerbewohner und wird hier meistens in Schwärmen beobachtet .	False	Fisch	Masc	?	4.6857936717	cm	Masc	Pl	Capacity	5.0287729007	Card	2	4	http://www.tauchprojekt.de/fotos/db_fische/Mullus_surmuletus.htm	884
Der etwa 40	Zentimeter lange Fisch	stammt aus dem Atlantik und ist in der Nordsee nicht heimisch .	False	Fisch	Masc	?	4.6857936717	Zentimeter	Masc	Pl	Length	4.1950911679	Card	5	7	http://www.schutzstation-wattenmeer.de/aktuell/news-beitrag/ansicht/tiefseefisch-am-amrumer-strand/	892
Die 40	km hohe Asche	- und Steinwolke verschonte selbst Nachbarländer wie China und Indonesien nicht und der bis dahin 1745 m hohe Vulkan büßte bei diesem Ausbruch 260 m an Höhe ein .	False	Asche	Fem	Str	3.899054068	km	Masc	Pl	Length	5.1762371575	Card	4	5	http://www.wakiya-tours.de/Reisen2012/Di/di0881.html	930
Heute durfte er schon je 40	ml reine Milch	trinken und sein schreien war weniger hysterisch und liess sich durch Schnuller in den Mund shieben gä glich ausschalten .	Acc	Milch	Fem	Str	4.3806091626	ml	Masc	Pl	Capacity	4.2330722957	Card	7	3	http://www.urbia.de/archiv/forum/th-3299131/Zwischenbericht-aus-dem-Krankenhaus.html	1249
Ihren Ruf als fettlastige Kalorienbombe haben Kartoffelchips zurecht : Eine 125 Gramm Tüte enthält zwischen 30 und 40	Gramm reines Fett	, das entspricht 25 bis 35 Prozent .	Acc	Fett	Neut	Nomacc	4.2780810669	Gramm	Neut	Pl	Weight	4.1892825213	Card	6	5	http://www.ugb.de/lebensmittel-im-test/bio-chips-knabbern-mit-gutem-gewissen/	1961
Der Grat zwischen Genuss und Gefahr ist schmal : Schon wer täglich einen Liter Bier trinkt , riskiert alkoholabhängig zu werden oder alkoholbedingte Organschäden zu bekommen 30 bis 40	Gramm reiner Alkohol	für Männer und 20 Gramm täglich für Frauen gelten als Grenze für körperliche Folgeerkrankungen .	Nom	Alkohol	Masc	Nom	4.4816174578	Gramm	Neut	Pl	Weight	4.1892825213	Card	2	4	http://www.erato.fh-erfurt.de/so/homepages/wagner/Zuindex/Lehre/Alkohol/1baalksitz03deutschland.htm	3103
Dem als Lastentier bekannten stämmigen Vierbeiner werde dabei manchmal einiges zugemutet , kritisiert Deininger : " Wenn ein Esel 40	Kilogramm schweres Gepäck	tragen muss , dann ist das Tierquälerei .	False	Gepäck	Neut	Nomacc	4.1272992151	Kilogramm	Neut	Pl	Weight	3.9253327226	Card	5	5	http://www.vogtland.de/freizeit/familie-wohlbefinden/landurlaub/entspanntes-reiten-fuer-mensch-und-tier-artikel8046558.php	3473
Da wir etwas früh dort waren ( 4 h vor Abflug , aber man weiß ja nie was einem auf 280 km alles passieren kann ) hatten wir wohl Glück und niemand erhob Einspruch gegen 46 kg statt 40	kg erlaubtem Gepäck	und unser prall gefülltes Handgepäck sowie die dicksten Winterjacken die wir mit in die Kabine nahmen .	Gen	Gepäck	Neut	Dat	4.1272992151	kg	Neut	Pl	Weight	4.7316548309	Card	5	4	http://www.abenteuerstufe2.de/html/umzug.html	3486
Mit bemehlten Händen jede Hälfte zu einer ungefähr 40	cm langen Wurst	rollen und diese in 16 gleich große Stücke teilen .	False	Wurst	Fem	Str	3.9692481267	cm	Masc	Pl	Capacity	5.0287729007	Card	6	5	http://forum.kochen-und-geniessen.de/koch-club-f1/italienische-kueche-t933-s15.html	3549
Neben mehreren Terrassen , teils überdacht , teils sonnig , ist das ganze Grundstück von Bäumen gesäumt und beinhaltet eine ca. 50 qm große Gartenfläche mit ca. 40	qm angelegtem Rasen	.	Dat	Rasen	Masc	Dat	3.9535664143	qm	Masc	Pl	Square	4.2015773601	Card	6	5	http://www.las-islas-reisen.de/ferienhaus-mallorca/396_mallorca.html	4021
So machte es Egenbüttel dem Gast leicht , seine Kombinationen auf dem " 40	cm hohen Rasen	" ( Zitat Ehm ) vorzuführen .	False	Rasen	Masc	Acc	3.9535664143	cm	Masc	Pl	Capacity	5.0287729007	Card	6	5	http://www.sc-egenbuettel.de/_berichte2008/berichtliga2008_32.htm	4039
Messbox Soundkarte : Audiophile 192 Messung : Outdoor , 2 m Höhe , zwischen Chassis auf Drehteller , 2 m Abstand , Bassbereich per 2 m GPM auf 40	cm starkem Beton	.	Acc	Beton	Masc	Dat	3.8614268693	cm	Masc	Pl	Capacity	5.0287729007	Card	7	9	http://www.jobst-audio.de/Entwicklungen/lmt-151/lmt-151.htm	4323
Bei unserem Neubau ca. 40 m Fundamentring  Frostschürze kämen so ca. 20 bis 40	m² erdberührender Beton	zusammen .	Nom	Beton	Masc	Nom	3.8614268693	Quadratmeter	Masc	Pl	Square	4.3661987474	Card	6	2	http://www.bau.de/forum/neubau/2931.htm	4355
Das Fundament fasst alleine 40	m ² Beton	.	False	Beton	Masc	?	3.8614268693	m	Masc	Pl	Length	5.240433421	Card	4	4	http://www.feuerwehr-meerbusch.de/03_einheiten/lg6_standort_zwischenstand.htm	4361
